Run,Sam.file.name,LABID
GTseq.prod.all41,z0032258_Mnov_GTseek_029_167_PLT_9.fastq.sam,z0032258
GTseq.prod.all42,z0037607_Mnov_GTseek_022_142_PLT_2.fastq.sam,z0037607
GTseq.prod.all43,z0037609_Mnov_GTseek_022_024_PLT_2.fastq.sam,z0037609
GTseq.prod.all44,z0037610_Mnov_GTseek_022_026_PLT_2.fastq.sam,z0037610
GTseq.prod.all45,z0037611_Mnov_GTseek_022_028_PLT_2.fastq.sam,z0037611
GTseq.prod.all46,z0037624_Mnov_GTseek_022_030_PLT_2.fastq.sam,z0037624
GTseq.prod.all47,z0040275_Mnov_GTseek_026_041_PLT_6.fastq.sam,z0040275
GTseq.prod.all48,z0040287_Mnov_GTseek_026_043_PLT_6.fastq.sam,z0040287
GTseq.prod.all49,z0040308_Mnov_GTseek_029_001_PLT_9.fastq.sam,z0040308
GTseq.prod.all50,z0040337_Mnov_GTseek_029_157_PLT_9.fastq.sam,z0040337
GTseq.prod.all51,z0040357_Mnov_GTseek_026_045_PLT_6.fastq.sam,z0040357
GTseq.prod.all52,z0040377_Mnov_GTseek_029_003_PLT_9.fastq.sam,z0040377
GTseq.prod.all53,z0040387_Mnov_GTseek_029_005_PLT_9.fastq.sam,z0040387
GTseq.prod.all55,z0040403_Mnov_GTseek_026_047_PLT_6.fastq.sam,z0040403
GTseq.prod.all56,z0040403_Mnov_GTseek_026_175_PLT_6.fastq.sam,z0040403
GTseq.prod.all57,z0040413_Mnov_GTseek_026_049_PLT_6.fastq.sam,z0040413
GTseq.prod.all58,z0040451_Mnov_GTseek_029_007_PLT_9.fastq.sam,z0040451
GTseq.prod.all59,z0040465_Mnov_GTseek_026_051_PLT_6.fastq.sam,z0040465
GTseq.prod.all60,z0040513_Mnov_GTseek_026_053_PLT_6.fastq.sam,z0040513
GTseq.prod.all61,z0040957_Mnov_GTseek_026_055_PLT_6.fastq.sam,z0040957
GTseq.prod.all62,z0040960_Mnov_GTseek_029_009_PLT_9.fastq.sam,z0040960
GTseq.prod.all63,z0040961_Mnov_GTseek_026_057_PLT_6.fastq.sam,z0040961
GTseq.prod.all65,z0041026_Mnov_GTseek_029_011_PLT_9.fastq.sam,z0041026
GTseq.prod.all66,z0041026_Mnov_GTseek_029_171_PLT_9.fastq.sam,z0041026
GTseq.prod.all67,z0041072_Mnov_GTseek_026_059_PLT_6.fastq.sam,z0041072
GTseq.prod.all68,z0041115_Mnov_GTseek_029_013_PLT_9.fastq.sam,z0041115
GTseq.prod.all70,z0041145_Mnov_GTseek_026_061_PLT_6.fastq.sam,z0041145
GTseq.prod.all71,z0041145_Mnov_GTseek_026_177_PLT_6.fastq.sam,z0041145
GTseq.prod.all72,z0041153_Mnov_GTseek_026_063_PLT_6.fastq.sam,z0041153
GTseq.prod.all73,z0041174_Mnov_GTseek_029_015_PLT_9.fastq.sam,z0041174
GTseq.prod.all74,z0041233_Mnov_GTseek_026_065_PLT_6.fastq.sam,z0041233
GTseq.prod.all75,z0041243_Mnov_GTseek_026_067_PLT_6.fastq.sam,z0041243
GTseq.prod.all76,z0041248_Mnov_GTseek_026_069_PLT_6.fastq.sam,z0041248
GTseq.prod.all78,z0041250_Mnov_GTseek_026_071_PLT_6.fastq.sam,z0041250
GTseq.prod.all79,z0041250_Mnov_GTseek_026_179_PLT_6.fastq.sam,z0041250
GTseq.prod.all81,z0041274_Mnov_GTseek_029_017_PLT_9.fastq.sam,z0041274
GTseq.prod.all82,z0041274_Mnov_GTseek_029_173_PLT_9.fastq.sam,z0041274
GTseq.prod.all83,z0041465_Mnov_GTseek_026_073_PLT_6.fastq.sam,z0041465
GTseq.prod.all84,z0041472_Mnov_GTseek_026_075_PLT_6.fastq.sam,z0041472
GTseq.prod.all85,z0041480_Mnov_GTseek_026_077_PLT_6.fastq.sam,z0041480
GTseq.prod.all86,z0041483_Mnov_GTseek_026_079_PLT_6.fastq.sam,z0041483
GTseq.prod.all88,z0041494_Mnov_GTseek_026_081_PLT_6.fastq.sam,z0041494
GTseq.prod.all89,z0041494_Mnov_GTseek_026_181_PLT_6.fastq.sam,z0041494
GTseq.prod.all90,z0041498_Mnov_GTseek_026_083_PLT_6.fastq.sam,z0041498
GTseq.prod.all91,z0041501_Mnov_GTseek_026_085_PLT_6.fastq.sam,z0041501
GTseq.prod.all92,z0041507_Mnov_GTseek_026_087_PLT_6.fastq.sam,z0041507
GTseq.prod.all93,z0041512_Mnov_GTseek_026_089_PLT_6.fastq.sam,z0041512
GTseq.prod.all94,z0041514_Mnov_GTseek_026_091_PLT_6.fastq.sam,z0041514
GTseq.prod.all95,z0041519_Mnov_GTseek_026_093_PLT_6.fastq.sam,z0041519
GTseq.prod.all96,z0041521_Mnov_GTseek_026_095_PLT_6.fastq.sam,z0041521
GTseq.prod.all97,z0041522_Mnov_GTseek_026_097_PLT_6.fastq.sam,z0041522
GTseq.prod.all98,z0041526_Mnov_GTseek_026_099_PLT_6.fastq.sam,z0041526
GTseq.prod.all99,z0041527_Mnov_GTseek_026_101_PLT_6.fastq.sam,z0041527
GTseq.prod.all100,z0042288_Mnov_GTseek_028_135_PLT_8.fastq.sam,z0042288
GTseq.prod.all101,z0043243_Mnov_GTseek_026_103_PLT_6.fastq.sam,z0043243
GTseq.prod.all102,z0043267_Mnov_GTseek_026_105_PLT_6.fastq.sam,z0043267
GTseq.prod.all103,z0043278_Mnov_GTseek_026_107_PLT_6.fastq.sam,z0043278
GTseq.prod.all104,z0043464_Mnov_GTseek_026_109_PLT_6.fastq.sam,z0043464
GTseq.prod.all105,z0043468_Mnov_GTseek_026_111_PLT_6.fastq.sam,z0043468
GTseq.prod.all106,z0043475_Mnov_GTseek_026_113_PLT_6.fastq.sam,z0043475
GTseq.prod.all108,z0043477_Mnov_GTseek_026_115_PLT_6.fastq.sam,z0043477
GTseq.prod.all109,z0043477_Mnov_GTseek_026_183_PLT_6.fastq.sam,z0043477
GTseq.prod.all110,z0043478_Mnov_GTseek_026_117_PLT_6.fastq.sam,z0043478
GTseq.prod.all111,z0043481_Mnov_GTseek_026_119_PLT_6.fastq.sam,z0043481
GTseq.prod.all112,z0043487_Mnov_GTseek_026_121_PLT_6.fastq.sam,z0043487
GTseq.prod.all113,z0043488_Mnov_GTseek_026_123_PLT_6.fastq.sam,z0043488
GTseq.prod.all114,z0043489_Mnov_GTseek_026_125_PLT_6.fastq.sam,z0043489
GTseq.prod.all116,z0043491_Mnov_GTseek_026_127_PLT_6.fastq.sam,z0043491
GTseq.prod.all117,z0043491_Mnov_GTseek_026_185_PLT_6.fastq.sam,z0043491
GTseq.prod.all118,z0043493_Mnov_GTseek_026_129_PLT_6.fastq.sam,z0043493
GTseq.prod.all119,z0043494_Mnov_GTseek_026_131_PLT_6.fastq.sam,z0043494
GTseq.prod.all120,z0043498_Mnov_GTseek_026_133_PLT_6.fastq.sam,z0043498
GTseq.prod.all122,z0043504_Mnov_GTseek_026_135_PLT_6.fastq.sam,z0043504
GTseq.prod.all123,z0043504_Mnov_GTseek_026_187_PLT_6.fastq.sam,z0043504
GTseq.prod.all124,z0043513_Mnov_GTseek_026_137_PLT_6.fastq.sam,z0043513
GTseq.prod.all125,z0043526_Mnov_GTseek_026_139_PLT_6.fastq.sam,z0043526
GTseq.prod.all126,z0043566_Mnov_GTseek_026_141_PLT_6.fastq.sam,z0043566
GTseq.prod.all127,z0043572_Mnov_GTseek_026_143_PLT_6.fastq.sam,z0043572
GTseq.prod.all128,z0043599_Mnov_GTseek_026_145_PLT_6.fastq.sam,z0043599
GTseq.prod.all129,z0043627_Mnov_GTseek_029_019_PLT_9.fastq.sam,z0043627
GTseq.prod.all130,z0043631_Mnov_GTseek_026_147_PLT_6.fastq.sam,z0043631
GTseq.prod.all131,z0043640_Mnov_GTseek_026_149_PLT_6.fastq.sam,z0043640
GTseq.prod.all133,z0043642_Mnov_GTseek_026_151_PLT_6.fastq.sam,z0043642
GTseq.prod.all134,z0043642_Mnov_GTseek_026_189_PLT_6.fastq.sam,z0043642
GTseq.prod.all135,z0043649_Mnov_GTseek_026_153_PLT_6.fastq.sam,z0043649
GTseq.prod.all136,z0043650_Mnov_GTseek_026_155_PLT_6.fastq.sam,z0043650
GTseq.prod.all137,z0043652_Mnov_GTseek_026_157_PLT_6.fastq.sam,z0043652
GTseq.prod.all138,z0043666_Mnov_GTseek_026_159_PLT_6.fastq.sam,z0043666
GTseq.prod.all139,z0043668_Mnov_GTseek_026_161_PLT_6.fastq.sam,z0043668
GTseq.prod.all140,z0043674_Mnov_GTseek_026_163_PLT_6.fastq.sam,z0043674
GTseq.prod.all141,z0043678_Mnov_GTseek_029_021_PLT_9.fastq.sam,z0043678
GTseq.prod.all142,z0043684_Mnov_GTseek_026_165_PLT_6.fastq.sam,z0043684
GTseq.prod.all144,z0043686_Mnov_GTseek_026_167_PLT_6.fastq.sam,z0043686
GTseq.prod.all145,z0043686_Mnov_GTseek_026_191_PLT_6.fastq.sam,z0043686
GTseq.prod.all146,z0043693_Mnov_GTseek_026_169_PLT_6.fastq.sam,z0043693
GTseq.prod.all148,z0043704_Mnov_GTseek_027_001_PLT_7.fastq.sam,z0043704
GTseq.prod.all149,z0043704_Mnov_GTseek_027_171_PLT_7.fastq.sam,z0043704
GTseq.prod.all150,z0043716_Mnov_GTseek_027_003_PLT_7.fastq.sam,z0043716
GTseq.prod.all151,z0043724_Mnov_GTseek_027_005_PLT_7.fastq.sam,z0043724
GTseq.prod.all152,z0043747_Mnov_GTseek_027_007_PLT_7.fastq.sam,z0043747
GTseq.prod.all153,z0043789_Mnov_GTseek_027_009_PLT_7.fastq.sam,z0043789
GTseq.prod.all154,z0043807_Mnov_GTseek_027_011_PLT_7.fastq.sam,z0043807
GTseq.prod.all155,z0043819_Mnov_GTseek_027_013_PLT_7.fastq.sam,z0043819
GTseq.prod.all156,z0043839_Mnov_GTseek_027_015_PLT_7.fastq.sam,z0043839
GTseq.prod.all157,z0043876_Mnov_GTseek_027_017_PLT_7.fastq.sam,z0043876
GTseq.prod.all158,z0043877_Mnov_GTseek_027_019_PLT_7.fastq.sam,z0043877
GTseq.prod.all159,z0043891_Mnov_GTseek_027_021_PLT_7.fastq.sam,z0043891
GTseq.prod.all160,z0043898_Mnov_GTseek_027_023_PLT_7.fastq.sam,z0043898
GTseq.prod.all161,z0043904_Mnov_GTseek_027_025_PLT_7.fastq.sam,z0043904
GTseq.prod.all162,z0043905_Mnov_GTseek_027_027_PLT_7.fastq.sam,z0043905
GTseq.prod.all163,z0043915_Mnov_GTseek_027_029_PLT_7.fastq.sam,z0043915
GTseq.prod.all164,z0043934_Mnov_GTseek_027_031_PLT_7.fastq.sam,z0043934
GTseq.prod.all166,z0043940_Mnov_GTseek_027_033_PLT_7.fastq.sam,z0043940
GTseq.prod.all167,z0043940_Mnov_GTseek_027_173_PLT_7.fastq.sam,z0043940
GTseq.prod.all168,z0043954_Mnov_GTseek_027_035_PLT_7.fastq.sam,z0043954
