"","AnimalID","LABID","SEX","HAP","mito.haps","wint.area","feed.area","herd","HI.v.HI.SEAK","MnMx.v.MnMx.CA.OR.WA"
"497","z0056029","z0056029","M","E3",NA,"Rev",NA,NA,NA,NA
"498","z0055910","z0055910","M","E6",NA,"Rev",NA,NA,NA,NA
"499","z0055990","z0055990","M","E6",NA,"Rev",NA,NA,NA,NA
"500","z0043526","z0043526","M","Aminus",NA,"Rev","SEAK.NBC","Rev-SEAK.NBC",NA,NA
"501","z0052846","z0052846","F","Aplus",NA,"Rev","SEAK.NBC","Rev-SEAK.NBC",NA,NA
"502","z0043650","z0043650","M","A3",NA,NA,NA,NA,NA,NA
"503","z0055944","z0055944","M","A3",NA,"Rev","GOA","Rev-GOA",NA,NA
"504","z0055977","z0055977","M","A3",NA,"Rev","GOA","Rev-GOA",NA,NA
"505","z0055931","z0055931","M","Aminus",NA,"Rev","GOA","Rev-GOA",NA,NA
"506","z0055971","z0055971","F","Aplus",NA,"Rev","GOA","Rev-GOA",NA,NA
"507","z0043891","z0043891","F","E1",NA,"Rev","GOA","Rev-GOA",NA,NA
"508","z0055916","z0055916","F","E1",NA,"Rev","GOA","Rev-GOA",NA,NA
"509","z0055999","z0055999","M","E1",NA,"Rev","GOA","Rev-GOA",NA,NA
"510","z0055912","z0055912","M","E3",NA,"Rev","GOA","Rev-GOA",NA,NA
"511","z0043674","z0043674","F","E9",NA,"Rev","GOA","Rev-GOA",NA,NA
"512","z0055998","z0055998","F","F2",NA,"Rev","GOA","Rev-GOA",NA,NA
"513","z0196686","z0196686","M","F2","MnMito18","Shem",NA,NA,NA,NA
"514","z0196687","z0196687","M","F2","MnMito18","Shem",NA,NA,NA,NA
"515","z0196689","z0196689","M","F2","MnMito36","Shem",NA,NA,NA,NA
"516","z0196690","z0196690","F","F2","MnMito37","Shem",NA,NA,NA,NA
"517","z0075696","z0075696","F","H37","MnMito47","Shem",NA,NA,NA,NA
"518","z0196691","z0196691","M","SP90","MnMito50N","Shem",NA,NA,NA,NA
"519","z0196692","z0196692","F","SP90","MnMito48","Shem",NA,NA,NA,NA
"520","z0196693","z0196693","F","SP90","MnMito48","Shem",NA,NA,NA,NA
"521","z0196694","z0196694","F","SP90","MnMito49","Shem",NA,NA,NA,NA
"522","z0016576","z0051899","M","A3","MnMito01",NA,NA,NA,NA,NA
"523","z0175928","z0175928","F","A3",NA,"SMx","CA.OR.WA","SMx-CA.OR.WA",NA,NA
"524","z0029831","z0029831","M","Aplus","MnMito03","SMx","CA.OR.WA","SMx-CA.OR.WA",NA,NA
"525","z0051405","z0051405","M","Aplus",NA,"SMx","WA.SBC","SMx-WA.SBC",NA,NA
"526","z0051898","z0051898","M","Aplus",NA,"SMx","CA.OR.WA","SMx-CA.OR.WA",NA,NA
"527","z0175377","z0175377","M","Aplus",NA,"SMx","WA.SBC","SMx-WA.SBC",NA,NA
"528","z0187846","z0187846","M","Aplus",NA,"SMx","CA.OR.WA","SMx-CA.OR.WA",NA,NA
"529","z0029833","z0029833","M","E1","MnMito14","SMx","CA.OR.WA","SMx-CA.OR.WA",NA,NA
