"","AnimalID","LABID.x","Duplicate1","Duplicate2","Duplicate3","Herd","all.2021.data.herds","SEX","HAP","mito.haps","USE","GTseq.stratum","Optimization.sample","Main.run","Latitude","Longitude","YR","SOURCE","Contact","Notes","Permission.requested","Permission.received","Photo.Need.permission","Photo.Have.permission","LABID.y","prod","val","MS43","MS45","MS51","MS54","times.run","genos.10readsMin","genos.20readsMin","OLD Include on 3rd MiSeq run","NEW Include on 3rd MiSeq run","Use as replicate (from previous PCR1)"
"41",195770,195770,"NA","NA","NA","NA","NA","F","Aplus","NA","CCES","NA","NA","x","42.414099999999998","-124.5004","2018","BIOPSY-SWFSC-CCES","Jeff","NA","44502","44502","NA","NA - no winter photo","z0195770",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,133,72,"Yes","Yes",NA
"42",195671,195671,"NA","NA","NA","NA","NA","F","Aplus","NA","CCES","NA","NA","x","47.947699999999998","-125.5445","2018","BIOPSY-SWFSC-CCES","Jeff","NA","44502","44502","NA","NA - no winter photo","z0195671",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,3,135,102,"Yes","Yes",NA
"43",37611,37611,"NA","NA","NA","CentAm","CentAm","F","F2","MnMito29","mito","CentAm","NA","x","37","-122.4","2003","TAGGING-CASCADIA","John","NA","44503","Yes, collaborator","NA","Cascadia match pre-HW","z0037611",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,139,38,"Yes","Yes",NA
"44",107078,107078,"NA","NA","NA","NA","SMX","M","F2","NA","NA","SMX","NA","x","36.666665999999999","-122.033333","2011","BIOPSY-CA-MLML","NA","bonus","NA","NA","NA","Nico","z0107078",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,143,30,"Yes","Yes",NA
"45",195653,195653,"NA","NA","NA","NA","NA","M","Aplus","NA","CCES","NA","NA","x","48.354199999999999","-125.3579","2018","BIOPSY-SWFSC-CCES","Jeff","NA","44502","44502","NA","NA - no winter photo","z0195653",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,3,144,82,"Yes","Yes",NA
"46",195648,195648,"NA","NA","NA","NA","NA","M","Aminus","NA","CCES","NA","NA","x","48.4801","-125.0532","2018","BIOPSY-SWFSC-CCES","Jeff","NA","44502","44502","NA","NA - no winter photo","z0195648",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,3,144,95,"Yes","Yes",NA
"47",195689,195689,"NA","NA","NA","NA","NA","F","Aplus","NA","CCES","NA","NA","x","47.506399999999999","-124.881","2018","BIOPSY-SWFSC-CCES","Jeff","NA","44502","44502","NA","NA - no winter photo","z0195689",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,154,47,"Yes","Yes",NA
"48",45347,45347,"NA","NA","NA","MMex","MnMx-CA/OR/WA/SBC","M","F2","MnMito29","mito","MnMx-CA/OR/WA/SBC","NA","x","37.766666000000001","-123.2","2004","BIOPSY-CASCADIA","John","NA","44503","Yes, collaborator","NA","Cascadia match pre-HW","z0045347",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,157,105,"Yes","Yes",NA
"49",43243,43243,"NA","NA","NA","NA","HI-AI.Ber","F","E5","NA","HI.nonSEAK","HI-AI.Ber","NA","x","54.183332999999998","-166.25","2004","BIOPSY-AK-NGOS","Craig Matkin","NA","44503","NA","NA","SPLASH match","z0043243",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,165,30,"Yes","Yes","x"
"50",43498,43498,"NA","NA","NA","NA","HI-SEAK/NBC","F","Aminus","NA","NA","HI-SEAK/NBC","NA","x","57.75","-137.23333299999999","2004","BIOPSY-SWFSC-SPLASH","Jay","Seen in NBC and SEAK","44502","44503","NA","PWF","z0043498",TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,3,169,91,"Yes","Yes",NA
"51",195675,195675,"NA","NA","NA","NA","NA","M","Aminus","NA","CCES","NA","NA","x","47.916699999999999","-125.2453","2018","BIOPSY-SWFSC-CCES","Jeff","NA","44502","44502","NA","NA - no winter photo","z0195675",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,3,178,131,"Yes","Yes",NA
"52",43668,43668,"NA","NA","NA","NA","HI-GOA","M","Aminus","NA","HI.nonSEAK","HI-GOA","NA","x","57.583333000000003","-151.58333300000001","2004","BIOPSY-SWFSC-SPLASH","Jay","NA","44502","44503","NA","SPLASH match","z0043668",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,181,122,"Yes","Yes",NA
"53",53025,53025,"NA","NA","NA","NA","HI-SEAK","M","Aminus","NA","HI-SEAK","HI-SEAK/NBC","x","x","53.966665999999996","-133.4","2004","BIOPSY-CANADA-SPLASH","Thomas Doniol-Valcroze","NA","NA","Yes, collaborator","NA","PWF","z0053025",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2,181,106,"Yes","Yes",NA
"54",195655,195655,"NA","NA","NA","NA","HI-WA/SBC","F","Aminus","NA","CCES","HI-WA/SBC","x","x","48.323700000000002","-125.4128","2018","BIOPSY-SWFSC-CCES","Jeff","NA","44502","44502","NA","PWF, Chris Gabriele","z0195655",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2,182,105,"Yes","Yes",NA
"55",66805,66805,"NA","NA","NA","CentAm","CentAm","M","H35","MnMito45N","mito","CentAm","x","x","7.9","-79.066665999999998","2006","BIOPSY-SWFSC-STAR06","Lisa","NA","Not required per Kelly","NA","NA","NA - collected in CentAm","z0066805",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,2,183,104,"Yes","Yes",NA
"56",51929,51929,"NA","NA","NA","CentAm","CentAm","M","F2","MnMito32","mito","CentAm","NA","x","35.066665999999998","-120.85","2005","BIOPSY-CASCADIA","John","NA","44503","Yes, collaborator","NA","Cascadia match pre-HW","z0051929",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,183,111,"Yes","Yes",NA
"57",43819,43819,"NA","NA","NA","NA","HI-AI.Ber","M","Aminus","NA","HI.nonSEAK","HI-AI.Ber","NA","x","54.316665999999998","-166.73333299999999","2004","BIOPSY-SWFSC-SPLASH","Jay","NA","44502","44503","NA","SPLASH match","z0043819",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,183,126,"Yes","Yes","x"
"58",40387,40387,"NA","NA","NA","NA","HI-SEAK/NBC","M","Aminus","NA","NA","HI-SEAK/NBC","NA","x","19.716666","-156.066666","2003","BIOPSY-HIHWNMS","NA","bonus","NA","NA","NA","Wintering ground photo was from SPLASH, matched to non-SPLASH photo taken by Jan/Chris/Janet","z0040387",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,184,126,"Yes","Yes",NA
