LABID,GTseq.val,GTseq.prod,RunMS43,RunMS45.90s,RunMS51,RunMS54,RunMS58
z0195720,NA,270,NA,NA,322,NA,NA
z0195739,NA,249,NA,NA,322,NA,NA
z0196709,NA,211,NA,NA,322,NA,NA
z0196768,NA,257,NA,NA,322,NA,NA
z0196831,NA,289,NA,NA,322,NA,NA
z0196746,233,NA,NA,NA,323,NA,NA
z0196794,256,NA,NA,NA,323,NA,NA
z0051893,NA,1,NA,NA,323,NA,NA
z0056399,NA,320,NA,NA,323,NA,NA
z0173485,NA,309,NA,NA,323,NA,NA
z0195703,NA,242,NA,NA,323,NA,NA
z0196726,NA,224,NA,NA,323,NA,NA
z0196747,NA,213,NA,NA,323,NA,NA
z0196761,NA,228,NA,NA,323,NA,NA
z0196778,NA,133,NA,NA,323,NA,NA
z0040345b,NA,NA,NA,NA,323,NA,NA
z0040334,271,NA,NA,NA,324,NA,NA
z0197665,5,NA,186,298,324,NA,NA
z0051891,NA,288,NA,NA,324,NA,NA
z0051947,NA,9,NA,NA,324,NA,NA
z0053849,NA,300,NA,NA,324,NA,NA
z0108480,NA,234,NA,NA,324,NA,NA
z0195730,NA,237,NA,NA,324,NA,NA
z0196736b,NA,41,NA,NA,324,NA,NA
z0196743,NA,288,NA,NA,324,NA,NA
z0196865,NA,229,NA,NA,324,NA,NA
z0053847,258,NA,NA,NA,325,NA,NA
z0061980,NA,326,NA,NA,325,NA,NA
z0175377,NA,1,NA,NA,325,NA,NA
z0195715,NA,283,NA,NA,325,NA,NA
z0196727,NA,217,NA,NA,325,NA,NA
z0196728,NA,269,NA,NA,325,NA,NA
z0196736,NA,250,NA,NA,325,NA,NA
z0196758,NA,216,NA,NA,325,NA,NA
z0196767,NA,194,NA,NA,325,NA,NA
z0196772,NA,265,NA,NA,325,NA,NA
z0196777,NA,208,NA,NA,325,NA,NA
z0196781,NA,149,NA,NA,325,NA,NA
z0196854,NA,234,NA,NA,325,NA,NA
z0196861,NA,273,NA,NA,325,NA,NA
z0108508b,NA,NA,NA,NA,325,NA,NA
z0175937b,NA,NA,NA,NA,325,NA,NA
z0056375,NA,325,NA,NA,326,NA,NA
z0056384,NA,1,NA,NA,326,NA,NA
z0175928,NA,1,NA,NA,326,NA,NA
z0195722,NA,297,NA,NA,326,NA,NA
z0195741,NA,1,NA,NA,326,NA,NA
z0195743,NA,148,NA,NA,326,NA,NA
z0196718,NA,234,NA,NA,326,NA,NA
z0196722,NA,273,NA,NA,326,NA,NA
z0196760,NA,268,NA,NA,326,NA,NA
z0196765,NA,305,NA,NA,326,NA,NA
z0196775,NA,163,NA,NA,326,NA,NA
z0196823,NA,215,NA,NA,326,NA,NA
z0196863,NA,155,NA,NA,326,NA,NA
z0053754,NA,NA,NA,NA,326,NA,NA
z0051898,NA,320,NA,NA,327,NA,NA
z0056377,NA,314,NA,NA,327,NA,NA
z0056394,NA,274,NA,NA,327,NA,NA
z0187842,NA,319,NA,NA,327,NA,NA
z0195714,NA,271,NA,NA,327,NA,NA
z0196826,NA,238,NA,NA,327,NA,NA
z0196848,NA,224,NA,NA,327,NA,NA
z0196862,NA,208,NA,NA,327,NA,NA
z0011944,NA,325,NA,NA,328,NA,NA
z0053759,NA,1,NA,NA,328,NA,NA
z0195707,NA,311,NA,NA,328,NA,NA
