AnimalID,LABID.x,Duplicate1,Duplicate2,Duplicate3,Herd,all.2021.data.herds,SEX,HAP,mito.haps,USE,GTseq.stratum,Optimization.sample,Main.run,Latitude,Longitude,YR,SOURCE,Contact,Notes,Permission.requested,Permission.received,Photo.Need.permission,Photo.Have.permission,LABID.y,prod,val,MS43,MS45,MS51,MS54,times.run,genos.10readsMin,genos.20readsMin,Include on 3rd MiSeq run
195761,195761,NA,NA,NA,NA,NA,M,E1_E11,NA,CCES,NA,NA,x,43.6887,-124.3509,2018,BIOPSY-SWFSC-CCES,Jeff,NA,2-Nov-21,2-Nov-21,NA,NA - no winter photo,z0195761,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,0,0,No
30033,30033,56020,207758,NA,NA,MnMx/Rev-SEAK,M,Aplus,NA,NA,REV-SEAK/NBC,NA,x,58.566666,-136.116666,2002,BIOPSY-AK-GBNP,Chris Gabriele,NA,NA,NA,NA,"Nico, SPLASH match",z0056020,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,0,0,No
43640,43640,NA,NA,NA,NA,REV-WGOA/NGOA,M,F2,NA,NA,REV-WGOA/NGOA,NA,x,57.033333,-152.5,2004,BIOPSY-SWFSC-SPLASH,NA,Added Nov 24,NA,NA,NA,SPLASH match,z0043640,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,0,0,No
43716,43716,NA,NA,NA,NA,REV-WGOA/NGOA,M,A3,NA,NA,REV-WGOA/NGOA,NA,x,54.866666,-161.066666,2004,BIOPSY-SWFSC-SPLASH,NA,Added Nov 24,NA,NA,NA,SPLASH match,z0043716,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,0,0,No
43724,43724,NA,NA,NA,NA,REV-WGOA/NGOA,M,E1,NA,NA,REV-WGOA/NGOA,NA,x,54.65,-161.633333,2004,BIOPSY-SWFSC-SPLASH,Jay,NA,2-Nov-21,3-Nov-21,NA,SPLASH match,z0043724,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,0,0,No
43666,55886,43666,NA,NA,NA,Rev-WGOA/NGOA,M,Aplus,NA,X,Rev-WGOA/NGOA,NA,x,18.75,-110.9,2004,BIOPSY-MEXICO-SPLASH,Jorge,NA,3-Nov-21,3-Nov-21,NA,SPLASH match,z0043666,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,0,0,No
51879,51879,NA,NA,NA,MMex,SMX,M,F2,MnMito29,mito,SMX,NA,x,34.2,-119.783333,2005,BIOPSY-CASCADIA,John,NA,3-Nov-21,"Yes, collaborator",NA,FIBB,z0051879,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,0,0,No
195758,195758,NA,NA,NA,NA,SMX,M,E13,NA,CCES,SMX,NA,x,43.7186,-124.3695,2018,BIOPSY-SWFSC-CCES,Jeff,NA,2-Nov-21,2-Nov-21,NA,FIBB,z0195758,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,0,0,No
56396,56396,NA,NA,NA,MixCS,CentAm,M,F2,MnMito29,mito,CentAm,NA,x,10.55,-85.833333,2005,BIOPSY-COSTA RICA-SPLASH,John,NA,3-Nov-21,"Yes, collaborator",NA,NA - collected in CentAm,z0056396,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,1,0,No
43747,43747,NA,NA,NA,NA,HI-AI.Ber,F,A3,NA,HI.nonSEAK,HI-AI.Ber,NA,x,54.05,-166.5,2004,BIOPSY-SWFSC-SPLASH,Jay,NA,2-Nov-21,3-Nov-21,NA,SPLASH match,z0043747,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,1,0,No
