"","locus","inds.genoed","num.unique.genos","num.alleles.pos1","num.alleles.pos2","num.alleles.pos3","num.alleles.pos4","num.alleles.pos5"
"242","Mnov_gtseq_465",235,3,1,2,1,1,1
"243","Mnov_gtseq_468",310,3,2,1,1,1,1
"244","Mnov_gtseq_47",307,3,2,1,1,1,1
"245","Mnov_gtseq_470",309,3,2,2,1,1,1
"246","Mnov_gtseq_471",252,3,2,2,1,1,1
"247","Mnov_gtseq_472",308,3,2,1,1,1,1
"248","Mnov_gtseq_473",298,6,2,2,2,2,1
"249","Mnov_gtseq_475",310,33,2,2,2,2,2
"250","Mnov_gtseq_478",309,3,2,1,1,1,1
"251","Mnov_gtseq_479",310,3,2,2,1,1,1
"252","Mnov_gtseq_48",304,3,2,1,1,1,1
"253","Mnov_gtseq_50",308,10,2,2,2,1,1
"254","Mnov_gtseq_502",306,3,2,1,1,1,1
"255","Mnov_gtseq_504",310,5,2,2,1,1,1
"256","Mnov_gtseq_506",298,3,2,1,1,1,1
"257","Mnov_gtseq_507",306,3,2,1,1,1,1
"258","Mnov_gtseq_509",289,3,2,1,1,1,1
"259","Mnov_gtseq_51",302,3,2,1,1,1,1
"260","Mnov_gtseq_511",282,3,2,1,1,1,1
"261","Mnov_gtseq_513",310,3,2,1,1,1,1
"262","Mnov_gtseq_514",306,5,2,2,1,1,1
"263","Mnov_gtseq_515",287,6,2,2,1,1,1
"264","Mnov_gtseq_517",282,3,2,1,1,1,1
"265","Mnov_gtseq_518",310,6,2,2,1,1,1
"266","Mnov_gtseq_521",298,3,2,1,1,1,1
"267","Mnov_gtseq_522",306,3,2,1,1,1,1
"268","Mnov_gtseq_523",310,3,2,1,1,1,1
"269","Mnov_gtseq_526",129,3,2,1,1,1,1
"270","Mnov_gtseq_529",230,3,2,1,1,1,1
"271","Mnov_gtseq_53",310,3,2,1,1,1,1
"272","Mnov_gtseq_532",289,16,2,2,2,1,1
"273","Mnov_gtseq_533",309,3,2,1,1,1,1
"274","Mnov_gtseq_536",135,6,2,2,1,1,1
"275","Mnov_gtseq_539",278,3,2,1,1,1,1
"276","Mnov_gtseq_54",310,3,2,1,1,1,1
"277","Mnov_gtseq_541",310,3,2,1,1,1,1
"278","Mnov_gtseq_543",310,5,2,2,1,1,1
"279","Mnov_gtseq_544",309,3,2,1,1,1,1
"280","Mnov_gtseq_545",309,3,2,1,1,1,1
"281","Mnov_gtseq_546",265,9,2,2,2,1,1
"282","Mnov_gtseq_547",310,3,2,1,1,1,1
"283","Mnov_gtseq_548",305,3,2,1,1,1,1
"284","Mnov_gtseq_549",307,6,2,2,1,1,1
"285","Mnov_gtseq_55",294,9,2,2,2,2,2
"286","Mnov_gtseq_550",257,3,2,1,1,1,1
"287","Mnov_gtseq_553",226,2,2,1,1,1,1
"288","Mnov_gtseq_56",309,5,2,2,1,1,1
"289","Mnov_gtseq_57",308,6,2,2,2,1,1
"290","Mnov_gtseq_58",289,6,2,2,1,1,1
"291","Mnov_gtseq_6",296,3,2,1,1,1,1
"292","Mnov_gtseq_60",309,3,2,1,1,1,1
"293","Mnov_gtseq_61",310,6,2,2,1,1,1
"294","Mnov_gtseq_63",305,3,2,1,1,1,1
"295","Mnov_gtseq_64",310,9,2,2,1,1,1
"296","Mnov_gtseq_65",310,3,2,1,1,1,1
"297","Mnov_gtseq_66",310,3,2,1,1,1,1
"298","Mnov_gtseq_67",310,3,2,1,1,1,1
"299","Mnov_gtseq_68",262,6,2,2,1,1,1
"300","Mnov_gtseq_69",310,3,2,1,1,1,1
"301","Mnov_gtseq_70",310,3,2,1,1,1,1
"302","Mnov_gtseq_71",310,6,2,2,1,1,1
"303","Mnov_gtseq_72",310,6,2,2,1,1,1
"304","Mnov_gtseq_73",310,3,2,1,1,1,1
"305","Mnov_gtseq_74",310,6,2,2,1,1,1
"306","Mnov_gtseq_75",308,6,3,1,1,1,1
"307","Mnov_gtseq_79",295,2,2,1,1,1,1
"308","Mnov_gtseq_8",299,3,2,1,1,1,1
"309","Mnov_gtseq_80",301,3,2,1,1,1,1
"310","Mnov_gtseq_81",307,3,2,1,1,1,1
"311","Mnov_gtseq_82",310,6,2,2,1,1,1
"312","Mnov_gtseq_83",310,3,2,1,1,1,1
"313","Mnov_gtseq_84",310,6,2,2,1,1,1
"314","Mnov_gtseq_86",310,3,2,2,1,1,1
"315","Mnov_gtseq_88",285,3,2,1,1,1,1
"316","Mnov_gtseq_90",310,3,2,1,1,1,1
"317","Mnov_gtseq_91",309,3,2,1,1,1,1
"318","Mnov_gtseq_92",309,6,2,2,1,1,1
"319","Mnov_gtseq_93",310,3,2,1,1,1,1
"320","Mnov_gtseq_94",310,3,2,1,1,1,1
"321","Mnov_gtseq_97",301,7,2,2,1,1,1
"322","Mnov_gtseq_98",310,5,2,2,1,1,1
