"","labID","genos","missing"
"622","z0196888",1,321
"623","z0196889",3,319
"624","z0196890",3,319
"625","z0196891",313,9
"626","z0196892",261,61
"627","z0196894",318,4
"628","z0196895",260,62
"629","z0197658",307,15
"630","z0197659",316,6
"631","z0197662",312,10
"632","z0197663",319,3
"633","z0197664",320,2
"634","z0197665",313,9
"635","z0197667",300,22
"636","z0197668",255,67
"637","z0197669",319,3
"638","z0197671",269,53
"639","z0197672",317,5
"640","z0197673",311,11
"641","z0197679",318,4
"642","z0197682",262,60
"643","z0207777",115,207
"644","z0207778",314,8
