,AnimalID,LABID.x,Duplicate1,Duplicate2,Duplicate3,Herd,all.2021.data.herds,SEX,HAP,mito.haps,USE,GTseq.stratum,Optimization.sample,Main.run,Latitude,Longitude,YR,SOURCE,Contact,Notes,Permission.requested,Permission.received,Photo.Need.permission,Photo.Have.permission,LABID,prod,val,MS43,MS45,MS51,MS54,times.run,genos.10readsMin,genos.20readsMin,Status,Concentration,Dried.down
98,41072,178363,41072,NA,NA,NA,HI-SEAK/NBC,M,Aminus,NA,NA,HI-SEAK/NBC,NA,x,58.301378,-136.239008,2016,STRAND-AK-GBNP-GABRIELE,Chris Gabriele,"SEAK-441, long sighting history",NA,"Yes, collaborator",NA,PWF,z0041072,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,13,2,Abandoned,26.0295,NA
381,41115,41115,NA,NA,NA,NA,HI-SEAK/NBC,M,Aminus,NA,NA,HI-SEAK/NBC,NA,x,20.033333,-155.833333,2004,BIOPSY-HIHWNMS,NA,bonus,NA,NA,NA,"Wintering ground photo was from SPLASH, matched to non-SPLASH photo taken by Jan/Chris/Janet",z0041115,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,320,308,Complete,NA,NA
114,41145,41145,NA,NA,NA,NA,HI-SEAK/NBC,F,Aminus,NA,NA,HI-SEAK/NBC,NA,x,19.983333,-155.866666,2004,BIOPSY-HIHWNMS,Dave Mattila,Added 1.10.22,NA,NA,NA,"Wintering ground photo was from SPLASH, matched to non-SPLASH photo taken by Jan/Chris/Janet",z0041145,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,25,3,Abandoned,18.8865,NA
269,41153,41153,NA,NA,NA,NA,HI-SEAK/NBC,F,Aminus,NA,NA,HI-SEAK/NBC,NA,x,20.016666,-155.883333,2004,BIOPSY-HIHWNMS,Dave Mattila,"SEAK-801, long sighting history",NA,NA,NA,"PWF, Chris Gabriele",z0041153,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,275,249,Complete,35.0142,NA
11,41174,41174,NA,NA,NA,NA,HI-SEAK/NBC,M,Aminus,NA,NA,HI-SEAK/NBC,NA,x,19.95,-155.916666,2004,BIOPSY-HIHWNMS,NA,bonus,NA,NA,NA,"Wintering ground photo was from SPLASH, matched to non-SPLASH photo taken by Jan/Chris/Janet",z0041174,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,0,0,Abandoned,NA,NA
418,41233,41233,NA,NA,NA,NA,HI-GOA,M,Aminus,NA,HI.nonSEAK,HI-GOA,NA,x,21.983333,-156.783333,2004,BIOPSY-HIHWNMS,Dave Mattila,NA,NA,NA,NA,SPLASH match,z0041233,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,324,314,Complete,24.2994,NA
259,41243,41243,NA,NA,NA,NA,HI-AI.Ber,M,A3,NA,HI.nonSEAK,HI-AI.Ber,NA,x,21.883333,-156.633333,2004,BIOPSY-HIHWNMS,Dave Mattila,NA,NA,NA,NA,SPLASH match,z0041243,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,268,226,In.Progress,45.8622,NA
179,41248,41248,NA,NA,NA,NA,HI-GOA,M,Aplus,NA,HI.nonSEAK,HI-GOA,NA,x,21.966666,-156.716666,2004,BIOPSY-HIHWNMS,Dave Mattila,NA,NA,NA,NA,SPLASH match,z0041248,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,186,58,In.Progress,19.4232,NA
241,41250,41250,NA,NA,NA,NA,HI-AI.Ber,F,Aplus,NA,HI.nonSEAK,HI-AI.Ber,NA,x,21.95,-156.8,2004,BIOPSY-HIHWNMS,Dave Mattila,NA,NA,NA,NA,SPLASH match,z0041250,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,257,216,In.Progress,23.5784,NA
189,41274,41274,NA,NA,NA,NA,HI-SEAK/NBC,M,Aplus,NA,NA,HI-SEAK/NBC,NA,x,21.983333,-159.783333,2004,BIOPSY-HIHWNMS,NA,bonus,NA,NA,NA,"Wintering ground photo was from SPLASH, matched to non-SPLASH photo taken by Jan/Chris/Janet",z0041274,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,198,138,In.Progress,NA,NA
336,41465,41465,NA,NA,NA,NA,HI-SEAK/NBC,F,Aplus,NA,NA,HI-SEAK/NBC,NA,x,57,-135.566666,2004,BIOPSY-UAS-STRALEY,Jan Straley,NA,NA,"Yes, collaborator",NA,Chris Gabriele,z0041465,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,308,276,Complete,24.5228,NA
608,41472,41472,43490,NA,NA,NA,HI-SEAK/NBC,M,Aminus,NA,NA,HI-SEAK/NBC,NA,x,57.133333,-135.916666,2004,BIOPSY-UAS-STRALEY,Jan Straley,NA,NA,"Yes, collaborator",NA,PWF,z0041472,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,332,326,Complete,55.5705,NA
371,41480,41480,NA,NA,NA,NA,HI-SEAK/NBC,F,Aplus,NA,NA,HI-SEAK/NBC,NA,x,57.15,-135.8,2004,BIOPSY-UAS-STRALEY,Jan Straley,NA,NA,"Yes, collaborator",NA,Chris Gabriele,z0041480,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,318,294,Complete,34.1735,NA
645,41483,41483,NA,NA,NA,NA,HI-SEAK/NBC,F,Aminus,NA,NA,HI-SEAK/NBC,NA,x,57.566666,-135.316666,2004,BIOPSY-UAS-STRALEY,Jan Straley,NA,NA,"Yes, collaborator","Adam Pack, HIHWNMS",NA,z0041483,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,336,336,Complete,24.0963,NA
328,41494,41494,NA,NA,NA,NA,HI-SEAK/NBC,F,Aminus,NA,NA,HI-SEAK/NBC,NA,x,58.266666,-135.866666,2004,BIOPSY-UAS-STRALEY,Jan Straley,NA,NA,"Yes, collaborator",NA,PWF,z0041494,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,305,286,Complete,24.4299,NA
609,41498,41498,NA,NA,NA,NA,HI-SEAK/NBC,M,Aplus,NA,NA,HI-SEAK/NBC,NA,x,58.2,-136.233333,2004,BIOPSY-UAS-STRALEY,Jan Straley,NA,NA,"Yes, collaborator",NA,PWF,z0041498,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,332,328,Complete,85.158,NA
