"","locus","num.genotyped","num.missing","prop.genotyped","num.alleles","allelic.richness","prop.unique.alleles","exptd.het","obsvd.het","num.snps"
"97","Mnov_gtseq_254",537,0,1,2,0.0037243947858473,0,0.131634620557757,0.122905027932961,1
"98","Mnov_gtseq_255",536,1,0.998137802607076,3,0.00559701492537313,0.00186567164179104,0.65366270886464,0.677839851024209,2
"99","Mnov_gtseq_257",537,0,1,2,0.0037243947858473,0,0.475056447316128,0.491620111731844,1
"100","Mnov_gtseq_258",537,0,1,2,0.0037243947858473,0,0.50012582414817,0.515828677839851,1
"101","Mnov_gtseq_26",537,0,1,2,0.0037243947858473,0,0.158335372552286,0.154562383612663,1
"102","Mnov_gtseq_260",535,2,0.996275605214153,2,0.00373831775700935,0,0.354430291214604,0.383612662942272,1
"103","Mnov_gtseq_261",535,2,0.996275605214153,3,0.00560747663551402,0,0.62549679585253,0.616387337057728,3
"104","Mnov_gtseq_262",520,17,0.968342644320298,3,0.00576923076923077,0,0.60567113348634,0.595903165735568,2
"105","Mnov_gtseq_263",537,0,1,2,0.0037243947858473,0,0.280514959189588,0.277467411545624,1
"106","Mnov_gtseq_265",537,0,1,2,0.0037243947858473,0,0.495773176374217,0.497206703910615,1
"107","Mnov_gtseq_268",536,1,0.998137802607076,2,0.00373134328358209,0.00186567164179104,0.488466282035202,0.500931098696462,1
"108","Mnov_gtseq_269",533,4,0.992551210428305,2,0.00375234521575985,0,0.499185230205498,0.476722532588454,1
"109","Mnov_gtseq_270",481,56,0.895716945996276,3,0.00623700623700624,0.00207900207900208,0.330128655831049,0.279329608938547,1
"110","Mnov_gtseq_271",486,51,0.905027932960894,3,0.00617283950617284,0,0.50636355545384,0.368715083798883,2
"111","Mnov_gtseq_273",530,7,0.986964618249534,2,0.00377358490566038,0,0.495654497835266,0.513966480446927,1
"112","Mnov_gtseq_274",536,1,0.998137802607076,2,0.00373134328358209,0.00186567164179104,0.49910113299051,0.513966480446927,1
"113","Mnov_gtseq_275",469,68,0.873370577281192,3,0.00639658848614072,0,0.367438611182538,0.329608938547486,2
"114","Mnov_gtseq_277",537,0,1,2,0.0037243947858473,0,0.280514959189588,0.258845437616387,1
"115","Mnov_gtseq_278",532,5,0.990689013035382,2,0.0037593984962406,0,0.187055715488156,0.191806331471136,1
"116","Mnov_gtseq_28",536,1,0.998137802607076,2,0.00373134328358209,0.00186567164179104,0.319850328190978,0.305400372439479,1
"117","Mnov_gtseq_281",530,7,0.986964618249534,3,0.00566037735849057,0,0.205425196429526,0.212290502793296,2
"118","Mnov_gtseq_283",441,96,0.82122905027933,2,0.00453514739229025,0,0.331886822076542,0.281191806331471,1
"119","Mnov_gtseq_284",537,0,1,2,0.0037243947858473,0,0.458230721571118,0.43389199255121,1
"120","Mnov_gtseq_285",537,0,1,3,0.00558659217877095,0,0.57689070307063,0.573556797020484,2
"121","Mnov_gtseq_287",536,1,0.998137802607076,2,0.00373134328358209,0.00186567164179104,0.358973688978079,0.329608938547486,1
"122","Mnov_gtseq_288",461,76,0.858472998137803,3,0.00650759219088937,0,0.497525796020076,0.439478584729981,2
"123","Mnov_gtseq_289",537,0,1,4,0.0074487895716946,0,0.605471007513003,0.621973929236499,2
"124","Mnov_gtseq_291",535,2,0.996275605214153,4,0.00747663551401869,0,0.464516580261053,0.486033519553073,4
"125","Mnov_gtseq_298",347,190,0.646182495344507,2,0.00576368876080692,0,0.472073555647043,0.305400372439479,1
